time,frame_2.5,id,x,z,y,v_x,v_z,v_y
0.40,1.00,1.00,1.40,0.00,-5.74,-0.33,0.00,-1.68
0.40,1.00,2.00,0.52,0.00,-7.00,0.10,0.00,-1.63
0.40,1.00,3.00,2.26,0.00,-4.55,-0.90,0.00,1.19
0.40,1.00,4.00,2.74,0.00,-2.42,0.05,0.00,1.82
0.40,1.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
0.40,1.00,6.00,-1.72,0.00,1.32,0.00,0.00,0.00
0.40,1.00,7.00,-2.44,0.00,2.28,0.03,0.00,0.51
0.40,1.00,8.00,-1.45,0.00,-0.76,0.00,0.00,0.00
0.40,1.00,9.00,1.16,0.00,-8.60,0.05,0.00,-1.57
0.40,1.00,10.00,-0.11,0.00,-9.90,0.00,0.00,0.05
4.40,11.00,1.00,1.27,0.00,-6.42,-0.33,0.00,-1.68
4.40,11.00,2.00,0.56,0.00,-7.66,0.10,0.00,-1.63
4.40,11.00,3.00,1.90,0.00,-4.07,-0.96,0.00,1.40
4.40,11.00,4.00,2.76,0.00,-1.70,-0.02,0.00,1.77
4.40,11.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
4.40,11.00,6.00,-1.72,0.00,1.32,0.00,0.00,0.00
4.40,11.00,7.00,-2.43,0.00,2.48,0.02,0.00,0.41
4.40,11.00,8.00,-1.45,0.00,-0.76,0.00,0.00,0.00
4.40,11.00,9.00,1.19,0.00,-9.23,0.05,0.00,-1.57
4.40,11.00,10.00,-0.11,0.00,-9.88,0.00,0.00,0.05
8.40,21.00,3.00,1.49,0.00,-3.43,-0.99,0.00,1.41
8.40,21.00,4.00,2.73,0.00,-1.00,-0.05,0.00,1.68
8.40,21.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
8.40,21.00,6.00,-1.72,0.00,1.32,0.00,0.00,0.00
8.40,21.00,7.00,-2.42,0.00,2.61,0.08,0.00,0.45
8.40,21.00,8.00,-1.45,0.00,-0.76,0.00,0.00,0.00
12.40,31.00,3.00,1.11,0.00,-2.94,-0.84,0.00,1.28
12.40,31.00,4.00,2.73,0.00,-0.36,-0.02,0.00,1.77
12.40,31.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
12.40,31.00,6.00,-1.72,0.00,1.32,0.00,0.00,0.00
12.40,31.00,7.00,-2.37,0.00,2.85,0.01,0.00,1.01
12.40,31.00,8.00,-1.45,0.00,-0.76,0.00,0.00,0.00
16.40,41.00,3.00,0.82,0.00,-2.41,-0.88,0.00,1.24
16.40,41.00,4.00,2.71,0.00,0.41,-0.14,0.00,1.69
16.40,41.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
16.40,41.00,6.00,-1.72,0.00,1.32,0.00,0.00,0.00
16.40,41.00,7.00,-2.42,0.00,3.41,-0.05,0.00,1.20
16.40,41.00,8.00,-1.45,0.00,-0.76,0.00,0.00,0.00
20.40,51.00,3.00,0.41,0.00,-1.95,-0.84,0.00,1.16
20.40,51.00,4.00,2.62,0.00,1.00,-0.16,0.00,1.67
20.40,51.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
20.40,51.00,6.00,-1.72,0.00,1.32,0.00,0.00,0.00
20.40,51.00,7.00,-2.41,0.00,3.80,0.01,0.00,0.98
20.40,51.00,8.00,-1.45,0.00,-0.76,0.00,0.00,0.00
24.40,61.00,3.00,0.15,0.00,-1.48,-0.67,0.00,1.30
24.40,61.00,4.00,2.59,0.00,1.75,-0.12,0.00,1.62
24.40,61.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
24.40,61.00,6.00,-1.72,0.00,1.32,0.00,0.00,0.00
24.40,61.00,8.00,-1.45,0.00,-0.76,0.00,0.00,0.00
28.40,71.00,3.00,-0.13,0.00,-0.91,-0.64,0.00,1.43
28.40,71.00,4.00,2.52,0.00,2.29,-0.15,0.00,1.35
28.40,71.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
28.40,71.00,6.00,-1.72,0.00,1.32,0.00,0.00,0.00
28.40,71.00,8.00,-1.45,0.00,-0.76,0.00,0.00,0.00
32.40,81.00,3.00,-0.37,0.00,-0.33,-0.55,0.00,1.45
32.40,81.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
32.40,81.00,6.00,-1.72,0.00,1.32,0.00,0.00,0.00
32.40,81.00,8.00,-1.45,0.00,-0.76,0.00,0.00,0.00
36.40,91.00,3.00,-0.57,0.00,0.24,-0.53,0.00,1.40
36.40,91.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
36.40,91.00,6.00,-1.72,0.00,1.32,0.00,0.00,0.00
36.40,91.00,8.00,-1.45,0.00,-0.76,0.00,0.00,0.00
40.40,101.00,3.00,-0.79,0.00,0.79,-0.49,0.00,1.27
40.40,101.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
40.40,101.00,6.00,-1.72,0.00,1.32,0.02,0.00,0.00
40.40,101.00,8.00,-1.45,0.00,-0.76,0.00,0.00,0.00
44.40,111.00,3.00,-0.96,0.00,1.26,-0.53,0.00,1.33
44.40,111.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
44.40,111.00,6.00,-1.70,0.00,1.32,0.02,0.00,0.00
44.40,111.00,8.00,-1.45,0.00,-0.76,0.00,0.00,0.00
48.40,121.00,3.00,-1.21,0.00,1.85,-0.67,0.00,1.18
48.40,121.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
48.40,121.00,6.00,-1.70,0.00,1.32,0.00,0.00,0.00
48.40,121.00,8.00,-1.45,0.00,-0.76,0.00,0.00,0.00
52.40,131.00,3.00,-1.49,0.00,2.20,-0.69,0.00,0.88
52.40,131.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
52.40,131.00,6.00,-1.70,0.00,1.32,0.00,0.00,0.00
52.40,131.00,8.00,-1.45,0.00,-0.76,0.00,0.00,0.00
56.40,141.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
56.40,141.00,6.00,-1.70,0.00,1.32,0.00,0.00,0.00
56.40,141.00,8.00,-1.45,0.00,-0.76,0.00,0.00,0.00
56.40,141.00,11.00,0.40,0.00,2.90,-0.16,0.00,-1.93
56.40,141.00,12.00,1.26,0.00,2.83,0.20,0.00,-0.53
56.40,141.00,13.00,1.00,0.00,3.79,-0.28,0.00,-0.80
60.40,151.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
60.40,151.00,6.00,-1.70,0.00,1.32,0.00,0.00,0.00
60.40,151.00,8.00,-1.45,0.00,-0.76,0.00,0.00,0.00
60.40,151.00,11.00,0.33,0.00,2.13,-0.07,0.00,-2.02
60.40,151.00,12.00,1.34,0.00,2.61,0.13,0.00,-0.62
60.40,151.00,13.00,0.88,0.00,3.47,-0.31,0.00,-0.89
64.40,161.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
64.40,161.00,6.00,-1.70,0.00,1.32,0.00,0.00,0.00
64.40,161.00,8.00,-1.45,0.00,-0.76,0.00,0.00,0.00
64.40,161.00,11.00,0.34,0.00,1.28,0.10,0.00,-2.08
64.40,161.00,12.00,1.36,0.00,2.33,0.00,0.00,-0.85
64.40,161.00,13.00,0.75,0.00,3.08,-0.18,0.00,-1.17
68.40,171.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
68.40,171.00,6.00,-1.70,0.00,1.32,0.00,0.00,0.00
68.40,171.00,8.00,-1.45,0.00,-0.76,-0.09,0.00,0.14
68.40,171.00,11.00,0.41,0.00,0.46,0.10,0.00,-2.08
68.40,171.00,12.00,1.34,0.00,1.94,0.03,0.00,-1.10
68.40,171.00,13.00,0.74,0.00,2.54,-0.01,0.00,-1.42
68.40,171.00,14.00,4.00,0.00,-2.35,-0.01,0.00,1.51
68.40,171.00,15.00,3.13,0.00,-2.26,0.02,0.00,1.27
68.40,171.00,16.00,3.56,0.00,-5.85,-0.35,0.00,1.90
72.40,181.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
72.40,181.00,6.00,-1.70,0.00,1.32,0.00,0.00,0.00
72.40,181.00,8.00,-1.52,0.00,-0.64,0.00,0.00,0.00
72.40,181.00,11.00,0.42,0.00,-0.38,0.12,0.00,-2.11
72.40,181.00,12.00,1.39,0.00,1.45,0.07,0.00,-1.28
72.40,181.00,13.00,0.74,0.00,1.94,0.03,0.00,-1.51
72.40,181.00,14.00,3.99,0.00,-1.74,-0.11,0.00,1.30
72.40,181.00,15.00,3.14,0.00,-1.75,0.00,0.00,1.25
72.40,181.00,16.00,3.43,0.00,-5.10,-0.28,0.00,1.87
76.40,191.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
76.40,191.00,6.00,-1.70,0.00,1.32,0.00,0.00,0.00
76.40,191.00,8.00,-1.45,0.00,-0.76,0.09,0.00,-0.14
76.40,191.00,11.00,0.50,0.00,-1.22,0.14,0.00,-2.08
76.40,191.00,12.00,1.40,0.00,0.91,-0.06,0.00,-1.46
76.40,191.00,13.00,0.76,0.00,1.33,0.05,0.00,-1.54
76.40,191.00,14.00,3.91,0.00,-1.30,-0.12,0.00,1.13
76.40,191.00,15.00,3.13,0.00,-1.26,-0.07,0.00,1.23
76.40,191.00,16.00,3.34,0.00,-4.36,-0.23,0.00,1.91
80.40,201.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
80.40,201.00,6.00,-1.70,0.00,1.32,0.00,0.00,0.00
80.40,201.00,8.00,-1.45,0.00,-0.76,-0.14,0.00,0.15
80.40,201.00,11.00,0.53,0.00,-2.05,0.10,0.00,-2.08
80.40,201.00,12.00,1.34,0.00,0.29,-0.02,0.00,-1.59
80.40,201.00,13.00,0.78,0.00,0.71,0.00,0.00,-1.63
80.40,201.00,14.00,3.90,0.00,-0.84,-0.03,0.00,1.19
80.40,201.00,15.00,3.08,0.00,-0.76,-0.05,0.00,1.23
80.40,201.00,16.00,3.24,0.00,-3.56,-0.25,0.00,1.99
84.40,211.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
84.40,211.00,6.00,-1.70,0.00,1.32,0.00,0.00,0.00
84.40,211.00,8.00,-1.56,0.00,-0.64,-0.09,0.00,0.19
84.40,211.00,11.00,0.58,0.00,-2.88,0.09,0.00,-2.18
84.40,211.00,12.00,1.38,0.00,-0.36,-0.04,0.00,-1.59
84.40,211.00,13.00,0.76,0.00,0.03,-0.05,0.00,-1.72
84.40,211.00,14.00,3.89,0.00,-0.35,-0.11,0.00,1.21
84.40,211.00,15.00,3.09,0.00,-0.27,0.04,0.00,1.17
84.40,211.00,16.00,3.14,0.00,-2.77,-0.14,0.00,2.00
88.40,221.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
88.40,221.00,6.00,-1.70,0.00,1.32,0.00,0.00,0.00
88.40,221.00,8.00,-1.52,0.00,-0.60,0.14,0.00,-0.15
88.40,221.00,11.00,0.60,0.00,-3.79,0.23,0.00,-2.29
88.40,221.00,12.00,1.31,0.00,-0.99,-0.12,0.00,-1.68
88.40,221.00,13.00,0.74,0.00,-0.67,-0.05,0.00,-1.78
88.40,221.00,14.00,3.81,0.00,0.13,-0.11,0.00,1.21
88.40,221.00,15.00,3.12,0.00,0.18,0.02,0.00,1.17
88.40,221.00,16.00,3.13,0.00,-1.96,-0.19,0.00,2.01
92.40,231.00,5.00,-1.59,0.00,0.93,-0.02,0.00,0.00
92.40,231.00,6.00,-1.70,0.00,1.32,-0.02,0.00,0.00
92.40,231.00,8.00,-1.45,0.00,-0.76,0.09,0.00,-0.19
92.40,231.00,11.00,0.76,0.00,-4.72,0.13,0.00,-2.36
92.40,231.00,12.00,1.29,0.00,-1.70,-0.01,0.00,-1.82
92.40,231.00,13.00,0.72,0.00,-1.39,-0.06,0.00,-1.93
92.40,231.00,14.00,3.80,0.00,0.62,-0.02,0.00,1.22
92.40,231.00,15.00,3.11,0.00,0.67,0.02,0.00,1.24
92.40,231.00,16.00,2.99,0.00,-1.16,-0.34,0.00,2.11
92.40,231.00,17.00,1.43,0.00,-8.20,0.34,0.00,1.89
92.40,231.00,18.00,3.29,0.00,-6.70,0.01,0.00,1.82
96.40,241.00,5.00,-1.61,0.00,0.93,-0.02,0.00,0.00
96.40,241.00,6.00,-1.72,0.00,1.32,-0.02,0.00,0.00
96.40,241.00,8.00,-1.45,0.00,-0.76,0.00,0.00,0.00
96.40,241.00,11.00,0.71,0.00,-5.68,-0.08,0.00,-2.19
96.40,241.00,12.00,1.30,0.00,-2.45,-0.03,0.00,-1.87
96.40,241.00,13.00,0.69,0.00,-2.21,0.01,0.00,-1.99
96.40,241.00,14.00,3.79,0.00,1.10,-0.03,0.00,1.12
96.40,241.00,15.00,3.13,0.00,1.17,0.02,0.00,1.19
96.40,241.00,16.00,2.86,0.00,-0.28,-0.32,0.00,1.96
96.40,241.00,17.00,1.57,0.00,-7.44,0.30,0.00,1.96
96.40,241.00,18.00,3.29,0.00,-5.97,-0.06,0.00,1.78
100.00,251.00,5.00,-1.61,0.00,0.93,0.00,0.00,0.00
100.00,251.00,6.00,-1.72,0.00,1.32,0.00,0.00,0.00
100.00,251.00,8.00,-1.45,0.00,-0.76,0.00,0.00,0.00
100.00,251.00,11.00,0.70,0.00,-6.47,0.05,0.00,-2.08
100.00,251.00,12.00,1.26,0.00,-3.20,-0.08,0.00,-1.92
100.00,251.00,13.00,0.73,0.00,-2.98,0.00,0.00,-1.76
100.00,251.00,14.00,3.78,0.00,1.51,-0.09,0.00,1.18
100.00,251.00,15.00,3.12,0.00,1.62,-0.07,0.00,1.14
100.00,251.00,16.00,2.73,0.00,0.41,-0.31,0.00,1.79
100.00,251.00,17.00,1.67,0.00,-6.63,0.39,0.00,2.05
100.00,251.00,18.00,3.24,0.00,-5.27,-0.04,0.00,1.73
104.00,261.00,11.00,0.75,0.00,-7.34,0.14,0.00,-2.21
104.00,261.00,12.00,1.23,0.00,-3.98,-0.04,0.00,-1.93
104.00,261.00,13.00,0.69,0.00,-3.62,-0.05,0.00,-1.76
104.00,261.00,14.00,3.72,0.00,2.05,-0.09,0.00,1.23
104.00,261.00,15.00,3.07,0.00,2.08,-0.03,0.00,1.10
104.00,261.00,16.00,2.61,0.00,1.16,-0.33,0.00,1.87
104.00,261.00,17.00,1.88,0.00,-5.81,0.34,0.00,2.02
104.00,261.00,18.00,3.26,0.00,-4.59,0.00,0.00,1.77
108.00,271.00,11.00,0.81,0.00,-8.24,0.11,0.00,-2.21
108.00,271.00,12.00,1.23,0.00,-4.74,0.01,0.00,-1.93
108.00,271.00,13.00,0.69,0.00,-4.39,-0.01,0.00,-1.94
108.00,271.00,14.00,3.71,0.00,2.50,-0.03,0.00,1.14
108.00,271.00,15.00,3.10,0.00,2.51,0.06,0.00,1.09
108.00,271.00,16.00,2.47,0.00,1.91,-0.45,0.00,1.85
108.00,271.00,17.00,1.94,0.00,-5.01,0.16,0.00,2.08
108.00,271.00,18.00,3.24,0.00,-3.86,0.03,0.00,1.76
112.00,281.00,11.00,0.84,0.00,-9.11,0.07,0.00,-2.18
112.00,281.00,12.00,1.24,0.00,-5.53,0.11,0.00,-1.82
112.00,281.00,13.00,0.68,0.00,-5.17,0.03,0.00,-1.95
112.00,281.00,14.00,3.69,0.00,2.96,-0.03,0.00,1.17
112.00,281.00,15.00,3.12,0.00,2.95,0.06,0.00,1.11
112.00,281.00,16.00,2.25,0.00,2.63,-0.54,0.00,1.81
112.00,281.00,17.00,2.01,0.00,-4.14,0.12,0.00,2.15
112.00,281.00,18.00,3.28,0.00,-3.18,0.02,0.00,1.69
116.00,291.00,12.00,1.32,0.00,-6.20,0.01,0.00,-1.89
116.00,291.00,13.00,0.71,0.00,-5.95,0.06,0.00,-1.88
116.00,291.00,17.00,2.03,0.00,-3.29,-0.04,0.00,2.12
116.00,291.00,18.00,3.26,0.00,-2.51,-0.09,0.00,1.70
120.00,301.00,12.00,1.25,0.00,-7.04,-0.02,0.00,-2.01
120.00,301.00,13.00,0.73,0.00,-6.68,0.09,0.00,-1.85
120.00,301.00,17.00,1.97,0.00,-2.45,-0.11,0.00,2.15
120.00,301.00,18.00,3.21,0.00,-1.81,-0.04,0.00,1.70
124.00,311.00,12.00,1.30,0.00,-7.81,0.06,0.00,-1.89
124.00,311.00,13.00,0.78,0.00,-7.43,0.08,0.00,-2.00
124.00,311.00,17.00,1.94,0.00,-1.57,-0.07,0.00,2.09
124.00,311.00,18.00,3.22,0.00,-1.15,0.02,0.00,1.69
128.00,321.00,12.00,1.30,0.00,-8.55,-0.01,0.00,-1.86
128.00,321.00,13.00,0.79,0.00,-8.28,0.02,0.00,-2.13
128.00,321.00,17.00,1.92,0.00,-0.77,-0.05,0.00,2.04
128.00,321.00,18.00,3.23,0.00,-0.47,0.09,0.00,1.67
128.00,321.00,19.00,0.36,0.00,1.68,0.20,0.00,1.07
132.00,331.00,17.00,1.91,0.00,0.06,0.16,0.00,2.13
132.00,331.00,18.00,3.30,0.00,0.19,0.27,0.00,1.74
132.00,331.00,19.00,0.45,0.00,2.11,0.28,0.00,1.08
136.00,341.00,17.00,2.05,0.00,0.93,0.09,0.00,1.97
136.00,341.00,18.00,3.44,0.00,0.93,0.18,0.00,1.63
136.00,341.00,19.00,0.59,0.00,2.55,0.21,0.00,1.12
140.00,351.00,17.00,1.97,0.00,1.64,-0.18,0.00,1.76
140.00,351.00,18.00,3.44,0.00,1.49,-0.01,0.00,1.41
140.00,351.00,19.00,0.61,0.00,3.00,0.07,0.00,1.14
164.00,411.00,20.00,1.55,0.00,2.38,-0.18,0.00,-1.51
168.00,421.00,20.00,1.48,0.00,1.78,-0.13,0.00,-1.54
172.00,431.00,20.00,1.45,0.00,1.15,-0.16,0.00,-1.59
172.00,431.00,21.00,2.59,0.00,-6.22,-0.08,0.00,1.94
176.00,441.00,20.00,1.35,0.00,0.50,-0.21,0.00,-1.59
176.00,441.00,21.00,2.56,0.00,-5.45,-0.08,0.00,1.92
180.00,451.00,20.00,1.28,0.00,-0.13,-0.18,0.00,-1.60
180.00,451.00,21.00,2.53,0.00,-4.69,-0.15,0.00,1.85
184.00,461.00,20.00,1.21,0.00,-0.77,-0.21,0.00,-1.60
184.00,461.00,21.00,2.44,0.00,-3.97,-0.11,0.00,1.82
188.00,471.00,20.00,1.12,0.00,-1.40,-0.14,0.00,-1.61
188.00,471.00,21.00,2.44,0.00,-3.24,-0.08,0.00,1.84
188.00,471.00,23.00,2.23,0.00,-7.41,-0.13,0.00,1.85
192.00,481.00,20.00,1.10,0.00,-2.06,-0.09,0.00,-1.64
192.00,481.00,21.00,2.37,0.00,-2.50,-0.20,0.00,1.76
192.00,481.00,23.00,2.18,0.00,-6.67,-0.13,0.00,1.88
196.00,491.00,20.00,1.04,0.00,-2.72,-0.02,0.00,-1.65
196.00,491.00,21.00,2.28,0.00,-1.83,-0.16,0.00,1.75
196.00,491.00,23.00,2.13,0.00,-5.91,-0.01,0.00,1.89
200.00,501.00,20.00,1.08,0.00,-3.38,0.01,0.00,-1.88
200.00,501.00,21.00,2.25,0.00,-1.10,-0.13,0.00,1.80
200.00,501.00,23.00,2.17,0.00,-5.15,-0.03,0.00,1.97
200.00,501.00,24.00,0.28,0.00,2.62,0.43,0.00,-0.78
200.00,501.00,25.00,-0.65,0.00,2.76,0.55,0.00,-0.55
200.00,501.00,26.00,3.52,0.00,-4.05,-0.20,0.00,1.30
204.00,511.00,20.00,1.05,0.00,-4.22,-0.05,0.00,-1.75
204.00,511.00,21.00,2.18,0.00,-0.39,0.04,0.00,1.95
204.00,511.00,23.00,2.11,0.00,-4.33,-0.08,0.00,1.97
204.00,511.00,24.00,0.46,0.00,2.31,0.39,0.00,-0.67
204.00,511.00,25.00,-0.43,0.00,2.54,0.48,0.00,-0.56
204.00,511.00,26.00,3.44,0.00,-3.53,-0.11,0.00,1.31
208.00,521.00,20.00,1.04,0.00,-4.79,0.03,0.00,-1.56
208.00,521.00,21.00,2.28,0.00,0.46,0.08,0.00,1.94
208.00,521.00,23.00,2.11,0.00,-3.58,-0.22,0.00,1.94
208.00,521.00,24.00,0.60,0.00,2.08,0.32,0.00,-0.56
208.00,521.00,25.00,-0.27,0.00,2.31,0.45,0.00,-0.58
208.00,521.00,26.00,3.43,0.00,-3.00,-0.07,0.00,1.26
212.00,531.00,20.00,1.08,0.00,-5.47,0.09,0.00,-1.74
212.00,531.00,21.00,2.24,0.00,1.16,-0.11,0.00,1.72
212.00,531.00,23.00,1.93,0.00,-2.78,-0.33,0.00,1.95
212.00,531.00,24.00,0.72,0.00,1.86,0.15,0.00,-0.63
212.00,531.00,25.00,-0.07,0.00,2.07,0.42,0.00,-0.63
212.00,531.00,26.00,3.38,0.00,-2.52,-0.11,0.00,1.24
212.00,531.00,27.00,2.39,0.00,-7.92,0.09,0.00,1.64
216.00,541.00,20.00,1.11,0.00,-6.18,0.25,0.00,-1.83
216.00,541.00,21.00,2.19,0.00,1.84,-0.04,0.00,1.68
216.00,541.00,23.00,1.85,0.00,-2.02,-0.08,0.00,1.87
216.00,541.00,24.00,0.72,0.00,1.58,0.06,0.00,-0.69
216.00,541.00,25.00,0.07,0.00,1.81,0.29,0.00,-0.73
216.00,541.00,26.00,3.34,0.00,-2.01,-0.04,0.00,1.28
216.00,541.00,27.00,2.42,0.00,-7.26,0.13,0.00,1.61
220.00,551.00,20.00,1.28,0.00,-6.94,0.32,0.00,-1.84
220.00,551.00,21.00,2.21,0.00,2.50,0.05,0.00,1.67
220.00,551.00,23.00,1.87,0.00,-1.28,0.01,0.00,1.86
220.00,551.00,24.00,0.76,0.00,1.31,0.15,0.00,-0.77
220.00,551.00,25.00,0.16,0.00,1.49,0.27,0.00,-0.77
220.00,551.00,26.00,3.35,0.00,-1.50,-0.14,0.00,1.24
220.00,551.00,27.00,2.49,0.00,-6.63,0.02,0.00,1.64
224.00,561.00,20.00,1.37,0.00,-7.65,0.28,0.00,-1.73
224.00,561.00,23.00,1.85,0.00,-0.53,0.10,0.00,1.82
224.00,561.00,24.00,0.84,0.00,0.96,0.07,0.00,-0.84
224.00,561.00,25.00,0.28,0.00,1.19,0.12,0.00,-0.78
224.00,561.00,26.00,3.23,0.00,-1.01,-0.21,0.00,1.18
224.00,561.00,27.00,2.44,0.00,-5.95,-0.07,0.00,1.69
228.00,571.00,20.00,1.50,0.00,-8.32,0.30,0.00,-1.70
228.00,571.00,23.00,1.95,0.00,0.17,0.19,0.00,1.80
228.00,571.00,24.00,0.82,0.00,0.64,0.03,0.00,-0.81
228.00,571.00,25.00,0.26,0.00,0.87,0.03,0.00,-0.79
228.00,571.00,26.00,3.18,0.00,-0.56,-0.05,0.00,1.21
228.00,571.00,27.00,2.44,0.00,-5.28,0.00,0.00,1.61
232.00,581.00,20.00,1.61,0.00,-9.01,0.21,0.00,-1.75
232.00,581.00,23.00,2.01,0.00,0.92,0.10,0.00,1.89
232.00,581.00,24.00,0.86,0.00,0.32,0.24,0.00,-0.84
232.00,581.00,25.00,0.30,0.00,0.56,0.00,0.00,-0.78
232.00,581.00,26.00,3.19,0.00,-0.05,-0.04,0.00,1.25
232.00,581.00,27.00,2.44,0.00,-4.66,-0.12,0.00,1.57
236.00,591.00,20.00,1.66,0.00,-9.72,0.14,0.00,-1.77
236.00,591.00,23.00,2.03,0.00,1.68,0.31,0.00,1.85
236.00,591.00,24.00,1.01,0.00,-0.03,0.28,0.00,-0.84
236.00,591.00,25.00,0.26,0.00,0.24,-0.05,0.00,-0.80
236.00,591.00,26.00,3.15,0.00,0.45,0.00,0.00,1.22
236.00,591.00,27.00,2.34,0.00,-4.02,0.00,0.00,1.61
236.00,591.00,28.00,0.74,0.00,3.66,0.10,0.00,-0.82
240.00,601.00,23.00,2.26,0.00,2.40,0.56,0.00,1.78
240.00,601.00,24.00,1.08,0.00,-0.36,0.16,0.00,-0.90
240.00,601.00,25.00,0.26,0.00,-0.08,0.05,0.00,-0.84
240.00,601.00,26.00,3.19,0.00,0.93,0.09,0.00,1.21
240.00,601.00,27.00,2.43,0.00,-3.38,0.15,0.00,1.47
240.00,601.00,28.00,0.78,0.00,3.33,0.17,0.00,-0.83
244.00,611.00,24.00,1.13,0.00,-0.74,0.18,0.00,-0.95
244.00,611.00,25.00,0.30,0.00,-0.43,-0.01,0.00,-0.93
244.00,611.00,26.00,3.22,0.00,1.41,-0.03,0.00,1.20
244.00,611.00,27.00,2.46,0.00,-2.84,0.00,0.00,1.34
244.00,611.00,28.00,0.88,0.00,2.99,0.19,0.00,-0.88
248.00,621.00,24.00,1.23,0.00,-1.12,0.20,0.00,-0.95
248.00,621.00,25.00,0.26,0.00,-0.83,0.06,0.00,-0.99
248.00,621.00,26.00,3.17,0.00,1.89,-0.12,0.00,1.19
248.00,621.00,27.00,2.44,0.00,-2.31,0.22,0.00,1.18
248.00,621.00,28.00,0.93,0.00,2.63,0.11,0.00,-0.89
252.00,631.00,24.00,1.30,0.00,-1.51,0.14,0.00,-0.92
252.00,631.00,25.00,0.35,0.00,-1.22,0.14,0.00,-0.98
252.00,631.00,27.00,2.64,0.00,-1.90,0.53,0.00,0.92
252.00,631.00,28.00,0.97,0.00,2.28,0.19,0.00,-0.88
256.00,641.00,24.00,1.34,0.00,-1.85,0.16,0.00,-0.90
256.00,641.00,25.00,0.37,0.00,-1.61,0.09,0.00,-0.97
256.00,641.00,27.00,2.86,0.00,-1.57,0.52,0.00,0.89
256.00,641.00,28.00,1.08,0.00,1.92,0.19,0.00,-0.85
260.00,651.00,24.00,1.43,0.00,-2.22,0.21,0.00,-0.90
260.00,651.00,25.00,0.42,0.00,-2.00,0.18,0.00,-0.96
260.00,651.00,27.00,3.06,0.00,-1.19,0.50,0.00,0.96
260.00,651.00,28.00,1.12,0.00,1.60,0.02,0.00,-0.88
264.00,661.00,24.00,1.50,0.00,-2.57,0.09,0.00,-0.91
264.00,661.00,25.00,0.51,0.00,-2.37,0.16,0.00,-0.98
264.00,661.00,28.00,1.10,0.00,1.22,0.04,0.00,-0.91
268.00,671.00,24.00,1.50,0.00,-2.95,0.06,0.00,-0.98
268.00,671.00,25.00,0.55,0.00,-2.78,0.20,0.00,-1.01
268.00,671.00,28.00,1.15,0.00,0.87,0.14,0.00,-0.87
272.00,681.00,24.00,1.55,0.00,-3.36,0.19,0.00,-1.12
272.00,681.00,25.00,0.68,0.00,-3.18,0.21,0.00,-0.98
272.00,681.00,28.00,1.21,0.00,0.53,0.07,0.00,-0.88
276.00,691.00,24.00,1.65,0.00,-3.85,0.14,0.00,-1.19
